"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Nov 24 03:52:47 UTC 2023","Fri Nov 24 03:53:58 UTC 2023","70626","","22. Individual Onboarding for Interactive Brokers","","","","9. Complete Applicants",""
"passed","Fri Nov 24 03:52:12 UTC 2023","Fri Nov 24 03:52:16 UTC 2023","3454","","22. Individual Onboarding for Interactive Brokers","","","","6. Complete Build Your Portfolio",""
"passed","Fri Nov 24 02:46:14 UTC 2023","Fri Nov 24 02:46:23 UTC 2023","9234","","5. Log in to the Nucleus Wealth portal, create a Trust Account and complete the onboarding portal","","","","2. Create a Trust Account",""
"passed","Fri Nov 24 03:54:48 UTC 2023","Fri Nov 24 03:55:47 UTC 2023","58662","","22. Individual Onboarding for Interactive Brokers","","","","14. Complete Final Review",""
"passed","Fri Nov 24 03:17:27 UTC 2023","Fri Nov 24 03:17:29 UTC 2023","1523","","10. Client Portal - Account Dashboard","","","","6. Expand Ethics/Exclusions",""
"passed","Fri Nov 24 04:02:50 UTC 2023","Fri Nov 24 04:02:52 UTC 2023","1319","","23. Change Portfolio for Interactive Brokers","","","","6. Check Final Review",""
"passed","Fri Nov 24 03:51:02 UTC 2023","Fri Nov 24 03:51:17 UTC 2023","15119","","22. Individual Onboarding for Interactive Brokers","","","","1. Log into user with IB access",""
"passed","Fri Nov 24 03:34:00 UTC 2023","Fri Nov 24 03:34:04 UTC 2023","4023","","16. Nucleus Wealth Wordpress Site","","","","2. Visit Investment Options",""
"passed","Fri Nov 24 03:45:31 UTC 2023","Fri Nov 24 03:45:35 UTC 2023","4262","","19. Look Up Investment Account","","","","4. Expand Account ID 445",""
"passed","Fri Nov 24 02:42:06 UTC 2023","Fri Nov 24 02:42:09 UTC 2023","2704","","4. Log in to the Nucleus Wealth portal, create a Joint Account and complete the onboarding portal","","","","6. Review Review Page",""
